anchor,index_station_next,next_station_name,dist_accum,height,stagger
M147-23,11,逸盛路站,1.5,4099,274
M147-22,11,逸盛路站,8.69,4101,236
M147-21,11,逸盛路站,17.04,4100,191
M147-20,11,逸盛路站,25.5,4099,143
M147-19,11,逸盛路站,33.5,4101,99
M147-18,11,逸盛路站,41.5,4099,41
M147-17,11,逸盛路站,49,4100,-1
M147-16,11,逸盛路站,56.84,4100,-44
M147-15,11,逸盛路站,65,4100,-92
M147-14,11,逸盛路站,73.5,4098,-147
M147-13,11,逸盛路站,81.5,4099,-188
M147-12,11,逸盛路站,89.5,4100,-233
M147-11,11,逸盛路站,97.5,4100,-274
M147-10,11,逸盛路站,105.5,4101,-236
M147-09,11,逸盛路站,113.5,4100,-184
M147-08,11,逸盛路站,121.5,4100,-139
M147-07,11,逸盛路站,129.5,4101,-99
M147-06,11,逸盛路站,137.5,4102,-51
M147-05,11,逸盛路站,145.5,4100,0
M147-04,11,逸盛路站,153.5,4101,49
M147-03,11,逸盛路站,161.5,4099,93
M145-28,11,逸盛路站,166.9,4103,-166
M147-02,11,逸盛路站,167.9,4101,135
M145-27,11,逸盛路站,168.9,4100,-125
M147-01,11,逸盛路站,169.9,4105,164
M145-26,11,逸盛路站,173.9,4100,-96
M145-25,11,逸盛路站,180.15,4101,-48
M145-24,11,逸盛路站,186.15,4100,-3
M145-23,11,逸盛路站,192.15,4101,45
M145-22,11,逸盛路站,198.4,4099,95
M145-21,11,逸盛路站,205.9,4099,153
M145-20,11,逸盛路站,213.9,4098,216
M145-19,11,逸盛路站,221.9,4100,277
M145-18,11,逸盛路站,229.9,4100,223
M145-17,11,逸盛路站,237.9,4101,165
M145-16,11,逸盛路站,245.9,4099,115
M145-15,11,逸盛路站,253.9,4098,58
M145-14,11,逸盛路站,261.9,4100,-2
M145-13,11,逸盛路站,269.9,4100,-49
M145-12,11,逸盛路站,277.9,4100,-113
M145-11,11,逸盛路站,285.9,4099,-168
M145-10,11,逸盛路站,293.9,4099,-228
M145-09,11,逸盛路站,301.9,4099,-274
M145-08,11,逸盛路站,309.9,4099,-221
M145-07,11,逸盛路站,317.9,4101,-158
M145-06,11,逸盛路站,325.9,4100,-101
M145-05,11,逸盛路站,333.9,4100,-37
M145-04,11,逸盛路站,341.9,4101,23
M145-03,11,逸盛路站,349.9,4101,85
M143-17,11,金德路-逸盛路,355.3,4103,-160
M145-02,11,逸盛路站,356.3,4102,147
M143-16,11,金德路-逸盛路,357.3,4099,-148
M145-01,11,逸盛路站,358.3,4103,158
M143-15,11,金德路-逸盛路,362.5,4098,-130
M143-14,11,金德路-逸盛路,368.5,4098,-110
M143-13,11,金德路-逸盛路,374.5,4098,-97
M143-12,11,金德路-逸盛路,382.5,4099,-74
M143-11,11,金德路-逸盛路,390.5,4098,-48
M143-10,11,金德路-逸盛路,398.5,4099,-27
M143-09,11,金德路-逸盛路,406.5,4098,0
M143-08,11,金德路-逸盛路,414.5,4099,16
M143-07,11,金德路-逸盛路,422.5,4099,42
M143-06,11,金德路-逸盛路,430.5,4100,70
M143-05,11,金德路-逸盛路,437.5,4099,86
M143-04,11,金德路-逸盛路,444.5,4100,111
M143-03,11,金德路-逸盛路,450.5,4099,115
M141-33,11,金德路-逸盛路,455.5,4105,-156
M143-02,11,金德路-逸盛路,456.5,4098,149
M141-32,11,金德路-逸盛路,457.5,4098,-134
M143-01,11,金德路-逸盛路,458.5,4104,165
M141-31,11,金德路-逸盛路,463.5,4101,-98
M141-30,11,金德路-逸盛路,470.5,4099,-60
M141-29,11,金德路-逸盛路,478.5,4100,-9
M141-28,11,金德路-逸盛路,486.5,4100,41
M141-27,11,金德路-逸盛路,494.5,4100,81
M141-26,11,金德路-逸盛路,502.5,4100,138
M141-25,11,金德路-逸盛路,510.5,4099,180
M141-24,11,金德路-逸盛路,518.5,4100,228
M141-23,11,金德路-逸盛路,526.5,4099,281
M141-22,11,金德路-逸盛路,534.5,4100,239
M141-21,11,金德路-逸盛路,542.5,4101,186
M141-20,11,金德路-逸盛路,550.5,4100,148
M141-19,11,金德路-逸盛路,558.5,4100,90
M141-18,11,金德路-逸盛路,566.5,4099,52
M141-17,11,金德路-逸盛路,574.5,4100,4
M141-16,11,金德路-逸盛路,582.5,4100,-42
M141-15,11,金德路-逸盛路,590.5,4099,-85
M141-14,11,金德路-逸盛路,598.5,4100,-139
M141-13,11,金德路-逸盛路,606.5,4102,-185
M141-12,11,金德路-逸盛路,614.5,4101,-229
M141-11,11,金德路-逸盛路,622.5,4100,-278
M141-10,11,金德路-逸盛路,630.5,4100,-239
M141-09,11,金德路-逸盛路,638.5,4100,-183
M141-08,11,金德路-逸盛路,646.5,4100,-136
M141-07,11,金德路-逸盛路,654.5,4100,-83
M141-06,11,金德路-逸盛路,662.5,4100,-41
M141-05,11,金德路-逸盛路,670.5,4101,54
M141-04,11,金德路-逸盛路,678.5,4101,55
M141-03,11,金德路-逸盛路,686.5,4102,102
M139-33,11,金德路-逸盛路,691.9,4106,-158
M141-02,11,金德路-逸盛路,692.9,4101,134
M139-32,11,金德路-逸盛路,693.9,4101,-136
M141-01,11,金德路-逸盛路,694.9,4106,157
M139-31,11,金德路-逸盛路,699.9,4100,100
M139-30,11,金德路-逸盛路,706.9,4101,-54
M139-29,11,金德路-逸盛路,714.9,4102,-8
M139-28,11,金德路-逸盛路,722.9,4100,37
