index,next_station_name,index_station_next,anchor,height,stagger,abrasion,dist,dist_accum,info
1,池华街站,32,M439-16,4061,279,3,8,0,
2,池华街站,32,M439-15,4062,249,3,8,8,
3,池华街站,32,M439-14,4062,222,3,8,16,
4,池华街站,32,M439-13,4062,189,3,8,24,
5,池华街站,32,M439-12,4061,160,3,8,32,
6,池华街站,32,M439-11,4062,137,3,8,40,
7,池华街站,32,M439-10,4061,102,3,8,48,
8,池华街站,32,M439-09,4061,69,3,8,56,
9,池华街站,32,M439-08,4060,31,3,8,64,
10,池华街站,32,M439-07,4060,-4,3,8,72,
11,池华街站,32,M439-06,4061,-42,3,7.7,79.7,
12,池华街站,32,M439-05,4059,-76,3,6,85.7,
13,池华街站,32,M439-04,4060,-101,3,6,91.7,
14,金家渡站-池华街站,32,M439-03,4062,-127,3,4,95.7,
15,金家渡站-池华街站,32,M439-02,4061,-148,3,2,97.7,
16,金家渡站-池华街站,32,M437-31,4063,164,3,2,99.7,
17,金家渡站-池华街站,32,M439-01,4064,-154,3,2,101.7,
18,金家渡站-池华街站,32,M437-30,4060,152,3,4,105.7,
19,金家渡站-池华街站,32,M437-29,4062,135,3,6,111.7,
20,金家渡站-池华街站,32,M437-28,4062,103,3,6,117.7,
21,金家渡站-池华街站,32,M437-27,4060,80,3,7.7,125.4,
22,金家渡站-池华街站,32,M437-26,4062,57,3,8,133.4,
23,金家渡站-池华街站,32,M437-25,4061,26,3,8,141.4,
24,金家渡站-池华街站,32,M437-24,4060,7,3,8,149.4,
25,金家渡站-池华街站,32,M437-23,4061,-39,3,8,157.4,
26,金家渡站-池华街站,32,M437-22,4060,-65,3,8,165.4,
27,金家渡站-池华街站,32,M437-21,4062,-101,3,8,173.4,
28,金家渡站-池华街站,32,M437-20,4061,-135,3,8,181.4,
29,金家渡站-池华街站,32,M437-19,4062,-170,3,8,189.4,
30,金家渡站-池华街站,32,M437-18,4061,-212,3,8,197.4,
31,金家渡站-池华街站,32,M437-17,4059,-246,3,8,205.4,
32,金家渡站-池华街站,32,M437-16,4061,-283,3,8,213.4,
33,金家渡站-池华街站,32,M437-15,4060,-249,3,8,221.4,
34,金家渡站-池华街站,32,M437-14,4060,-205,3,8,229.4,
35,金家渡站-池华街站,32,M437-13,4060,-174,3,8,237.4,
36,金家渡站-池华街站,32,M437-12,4061,-143,3,8,245.4,
37,金家渡站-池华街站,32,M437-11,4062,-101,3,8,253.4,
