anchor,index_station_next,next_station_name,dist_accum,height,stagger
M020-03,3,学院路,419.3,4101,81
M020-04,3,学院路,426.3,4101,42
M020-05,3,学院路,434.3,4099,-13
M020-06,3,学院路,442.3,4099,-72
M020-07,3,学院路,450.3,4101,-130
M020-08,3,学院路,458.3,4100,-190
M020-09,3,学院路,466.3,4101,-242
M020-10,3,学院路,474.3,4102,-260
M020-11,3,学院路,482.3,4101,-220
M020-12,3,学院路,490.3,4100,-180
M020-13,3,学院路,498.3,4100,-146
M020-14,3,学院路,506.3,4101,-112
M020-15,3,学院路,514.3,4099,-68
M020-16,3,学院路,522.3,4100,-42
M020-17,3,学院路,530.3,4099,8
M020-18,3,学院路,538.3,4101,37
M020-19,3,学院路,546.3,4101,75
M020-20,3,学院路,554.3,4101,123
M020-21,3,学院路,562.3,4100,153
M020-22,3,学院路,570.3,4101,190
M020-23,3,学院路,578.3,4101,225
M020-24,3,学院路,586.3,4099,257
M020-25,3,学院路,594.3,4100,246
M020-26,3,学院路,601.3,4101,187
M020-27,3,学院路,608.5,4100,136
M020-28,3,学院路,616,4101,80
M020-29,3,学院路,624.84,4099,34
M020-30,3,学院路,632.34,4102,-28
M020-31,3,学院路,637.34,4101,-91
M020-32,3,学院路,638.34,4102,-135
M020-33,3,学院路,639.34,4106,-149
M022-01,3,学院路,640.34,4105,148
M022-02,3,学院路,645.34,4100,131
M022-03,3,学院路,652.34,4101,99
M022-04,3,学院路,659.94,4101,59
M022-05,3,学院路,667.94,4099,31
M022-06,3,学院路,676.34,4099,17
M022-07,3,学院路,684.34,4101,70
M022-08,3,学院路,692.44,4100,110
M022-09,3,学院路,700.24,4101,161
M022-10,3,学院路,708.34,4102,186
M022-11,3,学院路,716.34,4101,242
M022-12,3,学院路,724.04,4100,281
M022-13,3,学院路,732.34,4100,241
M022-14,3,学院路,740.34,4101,176
M022-15,4,翠柏路,8,4099,135
M022-16,4,翠柏路,15.7,4100,88
M022-17,4,翠柏路,23.9,4099,41
M022-18,4,翠柏路,32.1,4101,11
M022-19,4,翠柏路,40.1,4100,60
M022-20,4,翠柏路,46.83,4101,104
