index,next_station_name,index_station_next,anchor,height,stagger,abrasion,dist,dist_accum,info
1,浦沿站,2,M018-16,4042,173,0,10,0,
2,浦沿站,2,M018-17,4042,148,0,10,10,
3,浦沿站,2,M018-18,4041,105,0,10,20,
4,浦沿站,2,M018-19,4039,71,0,10,30,
5,浦沿站,2,M018-20,4042,33,0,10,40,
6,浦沿站,2,M018-21,4039,3,0,8.5,48.5,
7,浦沿站,2,M018-22,4039,-25,0,6.8,55.3,
8,浦沿站,2,M018-23,4039,-40,0,5,60.3,
9,浦沿站,2,M020-01,4043,167,0,1.3,61.6,
10,浦沿站,2,M018-24,4043,-50,0,2,63.6,
11,浦沿站,2,M020-02,4040,170,0,2,65.6,
12,浦沿站,2,M020-03,4042,149,0,5,70.6,
13,浦沿站,2,M020-04,4041,126,0,5.6,76.2,
14,浦沿站,2,M020-05,4041,104,0,6,82.2,
15,浦沿站,2,M020-06,4040,73,0,8,90.2,
16,浦沿站,2,M020-07,4038,19,0,8,98.2,
17,浦沿站,2,M020-08,4039,0,0,7.7,105.9,
18,浦沿站,2,M020-09,4040,-49,0,8,113.9,
19,浦沿站,2,M020-10,4039,-74,0,8,121.9,
20,浦沿站,2,M020-11,4038,-107,0,8,129.9,
21,浦沿站,2,M020-12,4040,-141,0,8,137.9,
22,浦沿站,2,M020-13,4041,-177,0,8,145.9,
23,浦沿站,2,M020-14,4040,-145,0,8,153.9,
24,浦沿站,2,M020-15,4040,-113,0,8,161.9,
25,浦沿站,2,M020-16,4040,-80,0,8,169.9,
26,浦沿站,2,M020-17,4040,-51,0,8,177.9,
27,浦沿站,2,M020-18,4040,-26,0,8,185.9,
28,浦沿站,2,M020-19,4041,-4,0,8,193.9,
29,浦沿站,2,M020-20,4041,24,0,8,201.9,
30,浦沿站,2,M020-21,4043,53,0,7,208.9,
31,浦沿站,2,M020-22,4042,93,0,7,215.9,
32,浦沿站,2,M020-23,4040,105,0,5,220.9,
33,浦沿站-杨家墩站区间,2,M022-01,4049,-168,5.4,1.3,222.2,
34,浦沿站,2,M020-24,4045,115,0,2,224.2,
35,浦沿站-杨家墩站区间,2,M022-02,4043,-152,5.6,2,226.2,
36,浦沿站-杨家墩站区间,2,M022-03,4041,-129,5.5,5,231.2,
37,浦沿站-杨家墩站区间,2,M022-04,4039,-108,2,7,238.2,
38,浦沿站-杨家墩站区间,2,M022-05,4039,-81,3,8,246.2,
39,浦沿站-杨家墩站区间,2,M022-06,4039,-55,3,8,254.2,
40,浦沿站-杨家墩站区间,2,M022-07,4040,-11,4,8,262.2,
41,浦沿站-杨家墩站区间,2,M022-08,4041,14,4,8,270.2,
42,浦沿站-杨家墩站区间,2,M022-09,4041,39,4.8,8,278.2,
43,浦沿站-杨家墩站区间,2,M022-10,4039,73,3,8,286.2,
44,浦沿站-杨家墩站区间,2,M022-11,4039,102,0,8,294.2,
45,浦沿站-杨家墩站区间,2,M022-12,4039,135,0,8,302.2,
46,浦沿站-杨家墩站区间,2,M022-13,4038,165,0,8,310.2,
47,浦沿站-杨家墩站区间,2,M022-14,4039,193,0,8,318.2,
48,浦沿站-杨家墩站区间,2,M022-15,4041,228,0,8,326.2,
49,浦沿站-杨家墩站区间,2,M022-16,4040,253,1,8,334.2,
50,浦沿站-杨家墩站区间,2,M022-17,4040,284,1,8,342.2,
51,浦沿站-杨家墩站区间,2,M022-18,4040,254,2,8,350.2,
52,浦沿站-杨家墩站区间,2,M022-19,4040,225,2,8,358.2,
