index,next_station_name,index_station_next,anchor,height,stagger,abrasion,dist,dist_accum
6852,浦沿站,2,M018-16,4042,173,0.0,10.0,0.0
6851,浦沿站,2,M018-17,4042,148,0.0,10.0,10.0
6850,浦沿站,2,M018-18,4041,105,0.0,10.0,20.0
6849,浦沿站,2,M018-19,4039,71,0.0,10.0,30.0
6848,浦沿站,2,M018-20,4042,33,0.0,10.0,40.0
6847,浦沿站,2,M018-21,4039,3,0.0,8.5,48.5
6846,浦沿站,2,M018-22,4039,-25,0.0,6.8,55.3
6845,浦沿站,2,M018-23,4039,-40,0.0,5.0,60.3
6844,浦沿站,2,M020-01,4043,167,0.0,1.3,61.6
6843,浦沿站,2,M018-24,4043,-50,0.0,2.0,63.6
6842,浦沿站,2,M020-02,4040,170,0.0,2.0,65.6
6841,浦沿站,2,M020-03,4042,149,0.0,5.0,70.6
6840,浦沿站,2,M020-04,4041,126,0.0,5.6,76.2
6839,浦沿站,2,M020-05,4041,104,0.0,6.0,82.2
6838,浦沿站,2,M020-06,4040,73,0.0,8.0,90.2
6837,浦沿站,2,M020-07,4038,19,0.0,8.0,98.2
6836,浦沿站,2,M020-08,4039,0,0.0,7.7,105.9
6835,浦沿站,2,M020-09,4040,-49,0.0,8.0,113.9
6834,浦沿站,2,M020-10,4039,-74,0.0,8.0,121.9
6833,浦沿站,2,M020-11,4038,-107,0.0,8.0,129.9
6832,浦沿站,2,M020-12,4040,-141,0.0,8.0,137.9
6831,浦沿站,2,M020-13,4041,-177,0.0,8.0,145.9
6830,浦沿站,2,M020-14,4040,-145,0.0,8.0,153.9
6829,浦沿站,2,M020-15,4040,-113,0.0,8.0,161.9
6828,浦沿站,2,M020-16,4040,-80,0.0,8.0,169.9
6827,浦沿站,2,M020-17,4040,-51,0.0,8.0,177.9
6826,浦沿站,2,M020-18,4040,-26,0.0,8.0,185.9
6825,浦沿站,2,M020-19,4041,-4,0.0,8.0,193.9
6824,浦沿站,2,M020-20,4041,24,0.0,8.0,201.9
6823,浦沿站,2,M020-21,4043,53,0.0,7.0,208.9
6822,浦沿站,2,M020-22,4042,93,0.0,7.0,215.9
6821,浦沿站,2,M020-23,4040,105,0.0,5.0,220.9
6820,浦沿站-杨家墩站区间,2,M022-01,4049,-168,5.4,1.3,222.2
6819,浦沿站,2,M020-24,4045,115,0.0,2.0,224.2
6818,浦沿站-杨家墩站区间,2,M022-02,4043,-152,5.6,2.0,226.2
6817,浦沿站-杨家墩站区间,2,M022-03,4041,-129,5.5,5.0,231.2
6816,浦沿站-杨家墩站区间,2,M022-04,4039,-108,2.0,7.0,238.2
6815,浦沿站-杨家墩站区间,2,M022-05,4039,-81,3.0,8.0,246.2
6814,浦沿站-杨家墩站区间,2,M022-06,4039,-55,3.0,8.0,254.2
6813,浦沿站-杨家墩站区间,2,M022-07,4040,-11,4.0,8.0,262.2
6812,浦沿站-杨家墩站区间,2,M022-08,4041,14,4.0,8.0,270.2
6811,浦沿站-杨家墩站区间,2,M022-09,4041,39,4.8,8.0,278.2
6810,浦沿站-杨家墩站区间,2,M022-10,4039,73,3.0,8.0,286.2
6809,浦沿站-杨家墩站区间,2,M022-11,4039,102,0.0,8.0,294.2
6808,浦沿站-杨家墩站区间,2,M022-12,4039,135,0.0,8.0,302.2
6807,浦沿站-杨家墩站区间,2,M022-13,4038,165,0.0,8.0,310.2
6806,浦沿站-杨家墩站区间,2,M022-14,4039,193,0.0,8.0,318.2
6805,浦沿站-杨家墩站区间,2,M022-15,4041,228,0.0,8.0,326.2
6804,浦沿站-杨家墩站区间,2,M022-16,4040,253,1.0,8.0,334.2
6803,浦沿站-杨家墩站区间,2,M022-17,4040,284,1.0,8.0,342.2
6802,浦沿站-杨家墩站区间,2,M022-18,4040,254,2.0,8.0,350.2
6801,浦沿站-杨家墩站区间,2,M022-19,4040,225,2.0,8.0,358.2
6800,浦沿站-杨家墩站区间,2,M022-20,4039,204,2.0,8.0,366.2
6799,浦沿站-杨家墩站区间,2,M022-21,4042,177,1.0,8.0,374.2
6798,浦沿站-杨家墩站区间,2,M022-22,4042,149,0.0,8.0,382.2
6797,浦沿站-杨家墩站区间,2,M022-23,4039,124,0.0,8.0,390.2
6796,浦沿站-杨家墩站区间,2,M022-24,4041,103,0.0,8.0,398.2
6795,浦沿站-杨家墩站区间,2,M022-25,4038,72,0.0,8.0,406.2
6794,浦沿站-杨家墩站区间,2,M022-26,4039,51,0.0,8.0,414.2
6793,浦沿站-杨家墩站区间,2,M022-27,4040,26,0.0,8.0,422.2
6792,浦沿站-杨家墩站区间,2,M022-28,4040,1,0.0,8.0,430.2
6791,浦沿站-杨家墩站区间,2,M022-29,4039,-34,0.0,8.8,439.0
6790,浦沿站-杨家墩站区间,2,M022-30,4039,-59,0.0,8.5,447.5
6789,浦沿站-杨家墩站区间,2,M022-31,4038,-83,0.0,7.0,454.5
6788,浦沿站-杨家墩站区间,2,M022-32,4040,-99,4.0,5.0,459.5
6787,浦沿站-杨家墩站区间,2,M024-01,4044,102,4.0,1.3,460.8
6786,浦沿站-杨家墩站区间,2,M022-33,4041,-103,4.0,2.0,462.8
6785,浦沿站-杨家墩站区间,2,M024-02,4041,99,4.0,2.0,464.8
6784,浦沿站-杨家墩站区间,2,M024-03,4039,81,1.0,5.0,469.8
6783,浦沿站-杨家墩站区间,2,M024-04,4038,53,1.0,7.0,476.8
6782,浦沿站-杨家墩站区间,2,M024-05,4038,37,1.0,8.0,484.8
6781,浦沿站-杨家墩站区间,2,M024-06,4038,1,1.0,8.0,492.8
6780,浦沿站-杨家墩站区间,2,M024-07,4038,-20,1.0,8.0,500.8
6779,浦沿站-杨家墩站区间,2,M024-08,4039,-41,1.0,8.0,508.8
6778,浦沿站-杨家墩站区间,2,M024-09,4038,-49,1.0,8.0,516.8
6777,浦沿站-杨家墩站区间,2,M024-10,4038,-105,1.0,8.0,524.8
6776,浦沿站-杨家墩站区间,2,M024-11,4039,-131,1.0,8.0,532.8
6775,浦沿站-杨家墩站区间,2,M024-12,4038,-160,1.0,8.0,540.8
6774,浦沿站-杨家墩站区间,2,M024-13,4038,-189,1.0,8.0,548.8
6773,浦沿站-杨家墩站区间,2,M024-14,4038,-208,1.0,8.0,556.8
6772,浦沿站-杨家墩站区间,2,M024-15,4038,-238,1.0,8.0,564.8
6771,浦沿站-杨家墩站区间,2,M024-16,4038,-268,1.0,8.0,572.8
6770,浦沿站-杨家墩站区间,2,M024-17,4038,-292,1.0,8.0,580.8
6769,浦沿站-杨家墩站区间,2,M024-18,4040,-258,1.0,8.0,588.8
6768,浦沿站-杨家墩站区间,2,M024-19,4039,-235,1.0,8.0,596.8
6767,浦沿站-杨家墩站区间,2,M024-20,4039,-215,1.0,8.0,604.8
6766,浦沿站-杨家墩站区间,2,M024-21,4038,-190,1.0,8.0,612.8
6765,浦沿站-杨家墩站区间,2,M024-22,4038,-159,1.0,8.0,620.8
6764,浦沿站-杨家墩站区间,2,M024-23,4038,-135,1.0,8.0,628.8
6763,浦沿站-杨家墩站区间,2,M024-24,4039,-109,1.0,8.0,636.8
6762,浦沿站-杨家墩站区间,2,M024-25,4040,-82,1.0,8.0,644.8
6761,浦沿站-杨家墩站区间,2,M024-26,4040,-52,1.0,8.0,652.8
